title,location,description,date
Undergraduate Research Cafe,Memorial Student Center,"
  The Office of Undergraduate Research (UGR) will be hosting an Undergraduate Research Café!


  The Café provides a relaxed setting for undergraduate students to learn about how to get involved in research at Texas A&amp;M while enjoying a cup of coffee and a cookie.


  Hosted by our experienced Undergraduate Research Ambassadors, this event allows students to attend on a come-and-go basis, and offers networking opportunities, informal Q&amp;A sessions, and peer support. Our UGR Ambassadors are eager to chat with you about all aspects of undergraduate research.


  Whether you need help searching for a research project, writing an email to a faculty member, reviewing a resume, or simply want to learn more about the research landscape at Texas A&amp;M, our UGR Ambassadors can help!
  
  Faculty/Staff: If you have questions about how LAUNCH or the UGR Ambassadors can support you in the classroom by introducing students to the idea of undergraduate research, come by and talk to us!
  
  This event is open to the public, and UGR Ambassadors from a variety of majors will be there.
",September 25
Math Learning Center Tutoring,"Evans 204E, Evans Library",,September 25
Lap Pool,,,September 25
Applied Micro Seminar - Gordon Dahl,Liberal Arts Social Sciences Building,Gordon Dahl (UCSD) will give a seminar entitled “Ability Mismatch and Early Career Success”,September 25
Webinar: Updated Developments on the Application of Weather and Other Environmental Inputs in Power System Planning,,"
  This presentation covers some of the more recent developments in the modeling of weather and other environmental inputs (ENIs) such as earthquakes and wildfires in the power flow and other related tools, with a focus on electric grid transmission planning.
",September 25
Let’s Talk,"Evans 204F (embedded UHS counselor office), Evans Library",,September 25
ICF Open,,,September 25
Indigenous Studies Working Group Meeting,Melbern G. Glasscock Building,Indigenous Studies Working Group,September 25
Indigenous Studies Working Group Meeting,Melbern G. Glasscock Building,"
  Indigenous Studies Working Group
",September 25
University Libraries present: Publishing Data in the Texas Data Repository,Online,,September 25
"Biochemistry and Biophysics Fall Seminar Series: Carey D. Nadell, Ph.D.",Biochemistry/Biophysics Building,"
  The Department of Biochemistry and Biophysics will host its weekly seminar of the BCBP Fall 2024 Seminar Series on Wednesday, Sept. 25.
",September 25
Página a Página,Rudder Tower 401,,September 25
ELP Practice Group for Instructors Fall 2024 (Session 3): Meet Experienced TAs,Blocker Building,"
  Register Here: https://ers.tamu.edu/register.aspx?ScheduleId=43257
  
  Facilitators: Ginessa Payne, Center for Teaching Excellence


  Description: Third in a series of workshops for international graduate students, faculty, post-docs, and visiting scholars. Interact with a panel of experienced TAs (graduate teaching consultants from the Center for Teaching Excellence). Ask questions and listen to their advice on the topic of effective communication in the classroom.


  Learning Outcomes:


  Analyze common teaching scenarios. Discuss strategies for responding to typical issues in the classroom. Identify one new tip or strategy that you plan to implement.
",September 25
2024 Faculty Promotion &amp; Tenure Reception,Stark Gallery in the Memorial Student Center,,September 25
2024 Faculty Promotion &amp; Tenure Reception,Stark Gallery in the Memorial Student Center,,September 25
Connecting the Dots: The Illustrations of John Rodak,The Arts Council 4180 Hwy 6 South College Station TX 77845,"
  The Arts Council of the Brazos Valley is inviting the community to the opening reception of “Connecting the Dots: The Illustrations of John Rodak”. This exhibition will be open from September 24th to November 7th.&#160;
",September 25
Innovation Connect - Harnessing Ideas,Hildebrand Equine Complex,"
  Howdy Partners!
  
  Join the Innovation Team at the Hildebrand Equine Complex on September 25, 2024 from 4:30 PM to 6:30 PM.
  
  Whether you are an aspiring entrepreneur, seasoned investor, or curious innovator, this event is the perfect platform to meet potential collaborators and broaden your network.
  
  
    
      This is the ideal opportunity to get to know more about Texas A&amp;M Innovation’s role, hear from experienced industry leaders, and connect with other innovators from our regional community over drinks and a bite to eat. And in true Texas style, we encourage y’all to show off your favorite cowboy boots!
      
      Plus, you have a chance to win Texas A&amp;M Innovation door prizes. Bring your colleagues for extra entries!
    
  Prizes include:
  
    A Texas A&amp;M Innovation Umbrella
    
    A Texas A&amp;M Innovation 16oz Tervis Cup
    
    A 2024 Innovation Forward (IF) Conference Registration&#160;
    
  
  Register here!
  
  Enjoy free parking in Lot 126 for the duration of the event. After parking in Lot 126, make your way to the front entrance and follow the directional signs.&#160;
  
  We’ll see you soon!
  –The Innovation Team
",September 25
Aggie Chef Showdown: Dinner &amp; a Show,Commons Dining Hall,"
  Aggie Dining and KAMU will be hosting a showdown, an Aggie Chef Showdown, in the Commons Dining Hall. Enjoy dinner and a show while you eat on September 25th! Grab a plate, maybe a date, and enjoy Aggieland’s very own cooking competition!
",September 25
ECON Career Night,Memorial Student Center - Gates Ball Room,"
  Company recruiters will be available to speak to and recruit current students for internships and full-time positions. This is a private event for ECON majors only.
",September 25
Penberthy North Hours,,,September 25
Penberthy South Hours,,,September 25
PEAP Hours,,,September 25
Masters of Science in Business Info Session ,Memorial Student Center,,September 25
50 Meter,,,September 25
Flex Online MBA: Dallas Networking Event,,,September 25
Peru Civil Engineering &amp; Greece Fluid Dynamics Program: Info Session,Zachry Engineering Education Complex,"
  Learn more about the Peru Civil Engineering Wintermester and the Greece Fluid Dynamics Maymester programs with professor Dr. Francisco Olivera.
",September 25
Major Grant Informational Session,,"
  
    Aggie Green Fund Major Grants Abstracts open on October 1. Join the Aggie Green Fund virtually and learn about Major Grants, the application process, past projects, and get answers to any questions you may have. The informational will be held on Zoom. We hope to see you there!
  


  Contact Information:


  &#160;


  Taylor Leeder
  AGF Information Chair
  greenfund-info@tamu.edu
  
  Wendy Webber
  Sustainability Operations Coordinator
  wwebber@tamu.edu
",September 25
"Breathe In, Stretch Out Yoga",,"
  Take a break and reconnect with yourself.
",September 25
Omar Smith Tennis Center Hours,,,September 25
Hazing Prevention Week: Featured Speaker Lianne Kowiak,Rudder Theater,"
  Lianne Kowiak is a national speaker for hazing prevention sharing her son’s story. Harrison Kowiak, her son, lost his life at the age of 19 tragically due to a fraternity hazing during his sophomore year in college. Her purpose is to educate students and administrators on the dangers of hazing. If you see something…say something! Do the mom test, and ask yourself, “Is the activity you are part of or a witness to one that your mom/loved one would approve of?”
",September 25
Hazing Prevention Week: Featured Speaker Lianne Kowiak,Rudder Theater,"
  Lianne Kowiak is a national speaker for hazing prevention sharing her son’s story. Harrison Kowiak, her son, lost his life at the age of 19 tragically due to a fraternity hazing during his sophomore year in college. Her purpose is to educate students and administrators on the dangers of hazing. If you see something…say something! Do the mom test, and ask yourself, “Is the activity you are part of or a witness to one that your mom/loved one would approve of?”
",September 25
Hindu Students Association General Body Meeting,Rudder Rudder 301,,September 25
Ice Hockey - Practice,"Spirit Ice Arena, 400 Holleman Dr E, College Station, TX 77840, USA",,September 25
Ice Hockey - Practice,"Spirit Ice Arena, 400 Holleman Dr E, College Station, TX 77840, USA",,September 25
2024 Pesticide Applicator Training for Public Health: Rosenberg,"Rosenberg Civic Center, 3825 State Highway 36, Rosenberg, TX 77471","
  The Texas A&amp;M AgriLife Extension Service will be holding a pesticide applicator training for certification for pesticide applicators in local governments responsible for mosquito control on Sept. 24-26 in Rosenberg.
",September 26
Free Tutoring,College Hills Baptist Church 712 Churchill Street College Station Texas 77840,,September 26
Inaugural Engineering Art Competition,Zachry Engineering Education Complex,"
  Engineering Art Competition
  Theme: Aggie Engineering: Forging the Future!
  August 19, 2024 - October 4, 2024
  We are excited to host our inaugural art contest exclusively for engineering students! This is your chance to showcase your creativity alongside your technical skills.
",September 26
Open Enrollment – Advanced Upstream Processes: Design and Optimization,National Center for Therapeutics Manufacturing (NCTM),"
  Learning Objectives
  
  • Overview of Cell Culture Principles
  
  • Cell Banking
  
  • Passaging of Adherent and Suspension Cells
  
  • Calculations for Transfection and Infection of Cell Cultures
  
  • Principles of Scale Up
  
  • Feeding Strategies and Recipe Design
  
  • Overview of PID Control Loops
  
  • Cell Culture Issues and Troubleshooting strategies
  
  • Growth Monitoring and Offline Analysis
  
  • Single Use Bioreactor Set up and Inoculation
  
  • Maintenance of Bioanalytical Equipment
  
  • Overview of Clean In Place; 100 liter reusable bioreactor operation; mammalian cell culture clarification by depth filtration; Continuous flow disc stack centrifuge operation.
",September 26
Pattern Recognition,Forsyth Galleries,"
  Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.
",September 26
Pattern Recognition,Forsyth Galleries,Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.,September 26
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",September 26
